Question number,Answer,Question,Option A,Option B,Option C,Figures Number ,Explanation,Study Unit
1021,B ,"(Refer to figure 23, area 3.) The vertical limits of that portion of Class E airspace designated as a Federal Airway over Magee Airport are","1,200 feet AGL to 10,000 feet MSL.","1,200 feet AGL to 17,999 feet MSL.","7,500 feet MSL to 12,500 feet MSL.",23,"Class E airspace ends at 17,999 MSL. ",1
1022,A ,"(Refer to figure 21, area 5.) The CAUTION box denotes what hazard to aircraft?",Cable extending from radar-outfitted balloons.,Tall bridge over the inlet to the body of water.,Guy wires extending from radio or TV towers.,21,The nature of the hazard is noted on the box next to the airport on the sectional chart.,1
1023,C ,"FAA advisory circulars (some free, others at cost) are available to all pilots and are obtained by",distribution from the nearest FAA district office.,subscribing to the Federal Register.,ordering those desired from the Government Printing Office.,,The Government Printing Office distributes advisory circulars.,1
1024,A ,The vertical limit of Class C airspace above the primary airport is normally,"4,000 feet AGL.","1,200 feet AGL.","3,000 feet AGL.",,"The ceiling of a Class C airspace should be 4,000 feet above the primary airport's field elevation.",1
1025,C,The normal radius of the outer area of Class C airspace is,5 nautical miles.,10 nautical miles.,20 nautical miles.,,"The normal radius of an outer area is 20 NM from the primary Class C airspace airport. The inner ring of controlled Class C airspace is 5 NM, and the outer ring with a Class C ""shelf"" is 10 NM.",1
1026,B ,All operations within Class C airspace must be in,compliance with ATC clearances and instructions.,an aircraft equipped with a 4096-code transponder with Mode C encoding capability.,accordance with instrument flight rules.,,"Part 91.215 states the transponder requirements for Class C airspace, that ""Unless otherwise authorized or directed by ATC, no person may operate an aircraft in the airspace... unless that aircraft is equipped with an operable coded radar beacon transponder... equipped with automatic pressure altitude reporting equipment having a Mode C capability.""",1
1027,B ,Under what condition may an aircraft operate from a satellite airport within Class C airspace?,The pilot must monitor ATC until clear of the Class C airspace.,The pilot must contact ATC as soon as practicable after takeoff.,The pilot must file a flight plan prior to departure.,,"Part 91.130 describes the regulations for operating from a satellite airport in Class C airspace: pilots departing  ""From the primary airport or satellite airport with an operating control tower must establish and maintain two-way radio communications with the control tower, and thereafter as instructed by ATC while operating in the Class C airspace area.""",1
1028,A ,What action should a pilot take when operating under VFR in a Military Operations Area (MOA)?,Exercise extreme caution when military activity is being conducted.,Operate only on the airways that transverse the MOA.,Obtain a clearance from the controlling agency prior to entering the MOA.,,Pilots operating under VFR should exercise extreme caution while flying within a MOA when military activity is being conducted.,1
1029,A ,Responsibility for collision avoidance in an alert area rests with,all pilots.,Air Traffic Control.,the controlling agency.,,All pilots are expected to maintain awareness and avoid collision while in an alert area. Advisory Circular 90-48 alerts all pilots to the potential hazards of midair collision and near midair collision.,1
1030,C ,The lateral dimensions of Class D airspace are based on,the number of airports that lie within the Class D airspace.,5 statute miles from the geographical center of the primary airport.,the instrument procedures for which the controlled airspace is established.,,Class D airspace dimensions are designed to contain instrument procedures.,1
1031,C ,Which initial action should a pilot take prior to entering Class C airspace?,Contact the FSS for traffic advisories.,Contact the tower and request permission to enter.,Contact approach control on the appropriate frequency.,,Class C service requires pilots to establish two-way radio communications before entering Class C airspace.,1
1032,A ,What ATC facility should the pilot contact to receive a special VFR departure clearance in Class D airspace?,Air Traffic Control Tower.,Automated Flight Service Station.,Air Route Traffic Control Center.,,"When a control tower is located within the Class B, Class C, or Class D surface area, requests for clearances should be to the tower. In a Class E surface area, a clearance may be obtained from the nearest tower, FSS or center.",1
1033,C ,Pilots flying over a national wildlife refuge are requested to fly no lower than,"3,000 feet AGL.","1,000 feet AGL.","2,000 feet AGL.",,Pilots are requested to maintain a minimum altitude of 2000 feet AGL above wildlife refuges to minimize wildlife disturbance.,1
1034,C ,An ATC clearance provides,priority over all other traffic.,adequate separation from all traffic.,authorization to proceed under specified traffic conditions in controlled airspace.,,"An ATC clearance allows the pilot to proceed under specified traffic conditions in controlled airspace. A is incorrect because there may be multiple aircraft with ATC clearance in a single airspace, so no one necessarily has priority. B is incorrect because when flying under VFR flight rules, it is primarily your responsibility to maintain adequate separation from other traffic.",1
1035,A ,"(Refer to figure 53.) When approaching Lincoln Municipal from the west at noon for the purpose of landing, initial communications should be with",Lincoln Approach Control on 124.0 MHz.,Minneapolis Center on 128.75 MHz.,Lincoln Tower on 118.5 MHz.,53,"Before entering any tower controlled airspace, you must receive permission to enter the airspace from the ATC facility providing air traffic services, which in this situation is Lincoln Approach Control as noted in the A/FD.",1
1036,C ,What is the Aeronautical Information Manual (AIM)?,It contains aircraft-specific information.,It contains rules and regulations of aviation operations.,It is the official guide to basic flight information and ATC procedures.,,"The AIM is the official guide to basic flight information and ATC procedures, and it is generally combined with the FARs as the FAR/AIM and produced annually.",1
1037,C ,What are Advisory Circulars (ACs)?,A document that contains notices to airmen,"An aircraft-specific document, developed by the manufacturer and approved by the FAA","A uniform, agency-wide system for the FAA to provide safety-related information and regulatory clarification to the aviation industry and the public",,ACs are used so that the FAA can reach a broad population in a short amount of time to educate them on safety-critical information. ,1
1038,C ,What are notices to airmen (NOTAMs)?,The official guide to basic flight information and ATC procedures,"A uniform, agency-wide system for the FAA to provide safety-related information and regulatory clarification to the aviation industry and the public",Time-critical aeronautical information that is either temporary in nature or published without sufficient advanced notice for publication in other manuals and handbooks,,NOTAMs are time-critical aeronautical information considered essential to the safety of flight.,1
1039,B,Which class(es) of airspace is/are uncontrolled?,"Class A, B, C, and E",Class G,Class E and G ,,Class G airspace is uncontrolled. A and C are incorrect because controlled airspace ranges from A to E.,1
1040,A,At what altitude does Class A airspace start?,"18,000 feet MSL","18,000 feet AGL","12,500 feet MSL.",,"Class A airspace is generally the air from 18,000 feet above sea level up to flight level 600 or 60,000 feet and anywhere over water within 12 nautical miles of the U.S.  ",1
1041,A,What are the equipment and pilot certificate requirements for operations in Class A airspace?,The pilot must be instrument rated and the aircraft IFR equipped. Also the flight must be on an IFR flight plan.,The pilot must be instrument rated and the flight must be on an IFR flight plan.,The pilot must be instrument rated and the aircraft must be jet engine powered. Also the flight must be on an IFR flight plan.,,All flights in class A airspace are conducted under instrument flight rules or IFR. B is incorrect because the aircraft must be IFR equipped. C is incorrect because non turbojet aircrafts can also fly into Class A airspace as long as it meets the requirements.,1
1042,A,Where are Class B airspaces generally located?,Largest airports.,Only in Chicago and New York,Only large airports along the coast.,,"Class B airspace is generally located from the surface up to 10,000 above sea level and it surrounds the nation's largest airports.",1
1043,C,What equipment and services can generally be found in airports surrounded by Class C airspace?,Control towers,Control towers and emergency rescue teams.,Control towers and radar approach control,,"Class C airspace is generally airspace from the surface to 4,000 feet above the airport elevation around an airport with an operating control tower, are serviced by a radar approach control, and have a certain number of IFR operations or passenger enplanements.",1
1044,B,"If a pilot hears a controller responding with his/her aircraft's call sign (tail number), is the pilot cleared into Class C airspace?","No, the pilot must hear the phrase ""Cleared into Class C airspace"" before entry.","Yes, the pilot is cleared into Class C airspace.","No, the pilot must wait until the controller confirms radar contact before entry.",,"The entry requirement for Class C airspace is two way communication, which means that the pilot is cleared into the airspace when the controller acknowledges him/her with the aircraft's tail number.",1
1045,B,Can a private pilot fly through a prohibited area?,"Yes, but only if the pilot has filed a flight plan",No,"Yes, but only if a pilot is instrument rated",,Flight by aircrafts in prohibited areas is not allowed. These areas can be established for security or national welfare reasons.,1
1046,A,Can a private pilot fly through a restricted area?,"Yes, but only if the area is not in use.",No,"Yes, but only with the permission of its controlling agency",,"Restricted areas do not totally prohibit aircraft operation but restrict aircraft when the area is in use. These areas often pose invisible hazards to pilots if in use, for example guided missiles, artillery firing, or aerial gunnery. ",1
1047,B,Does a pilot need special clearance to fly into a controlled firing area?,"Yes, but only if the flight is VFR",No,"Yes, but only if the flight is IFR",,"Controlled firing areas contain activities, which, if not conducted in a controlled environment, could be hazardous to nonparticipating aircraft. These areas do not need to be charted because activates are suspended when aircraft are in the vicinity.",1
1048,C,What type of special use airspace may contain high volume of flight training and unusual aerial activities?,Restricted Areas,Military Operating Areas (MOA),Alert Areas,,Alert areas are designated to inform nonparticipating pilots of areas that may contain a high volume of pilot training or an unusual type of aerial activity.,1
1049,A,At what altitude do military training routes generally exist?,"Below 10,000 feet but above 1500 feet AGL.","Above 10,000 feet",Below 1500 feet AGL,,"Military training routes are established typically below 10,000 feet but above 1,500 above ground level and at speeds in excess of 250 knots.",1
1050,A,What is a TFR?,Temporary Flight Restrictions,Terminal Forecast Range,Temporary Forecast Range,,Temporary flight restrictions are temporary restrictions around areas to protect people and property from damage or make an area less congested for emergency aircraft.,1
1051,A,Who is responsible to make sure a pilot does not fly into a TFR?,The pilot,ATC,the controlling agency.,,It is always a pilot's responsibility to make sure there are not TFRs in the area they are flying.  ,1
1052,C,What can you expect from the ATC?,Determine if a pilot's flight will be safe,Facilitate pilots in calculating fuel and time. ,Traffic advisories and local weather information,,The primary purpose of air traffic control is to prevent a collision between aircraft operating in the system and to organize and expedite the flow of traffic. Air traffic control may also be able to provide additional services including traffic advisories and weather information when the work load permits.,1
1053,B,Can a VFR-only pilot purposely operate in instrument meteorological conditions (IMC)?,No,"Yes, but only with special VFR clearance from ATC","Yes, but only when the pilot expects to be in IMC for less than 10 min",,"According to FAR 91.157, a VFR-only pilot may operate an aircraft in weather conditions below that prescribed for VFR when exercising the privileges of a special VFR clearance and maintaining 1 sm visibility and clear of clouds between sunrise and sunset.",1
1054,B,What is the equipment required to fly into Class B airspace?,An operational transponder,An operational transponder with altitude reporting capability,A Distance Measuring Equipment (DME),,Aircraft operating within class B airspace must have a transponder and altitude reporting equipment.,1
1055,C,What are the requirements to enter a Class C airspace?,Two way radio communication,An operational transponder with altitude reporting capability,Both A and B  ,,Flight in class C airspace must be conducted with two-way communication with ATC and have appropriate transponder equipment.  ,1
1056,A,"In a Class C airspace, how far (vertical distance) does a VFR pilot need to be from the clouds above him/her?",500 feet,100 feet,2000 feet,,"The weather minimums are 3 statute miles visibility and the pilot must stay 1,000 feet above the clouds, 500 feet below the clouds, and 2,000 horizontally from the clouds.",1
1057,B,What should a pilot do if his/her radio failed when operating around a towered airport?,Leave its airspace immediately and land at a non-towered airport,Squawk 7600 and follow light gun signals if available,Declare an emergency by squawking 7700 and land immediately,,"If the aircraft radios fail at any time under VFR flight, the pilot should follow standard procedures and land if weather conditions are above minimums, maintain visual contact with the tower, and obtain clearance to land.  ",1
1058,B,"(Refer to Figure 24, area 3.) What is the floor of the Savannah Class C airspace at the shelf area (outer circle)?","1,300 feet AGL.","1,300 feet MSL.","1,700 feet MSL.",24,"The floor is indicated on the sectional charts. It is always given in MSL. Generally, the Class C shelf extends from 1200 ft AGL to 4000 ft AGL.",1
1059,B,"(Refer to Figure 60, area 2.) The chart shows a gray line with ""VR1667, VR1617, VR1638, and VR1668."" Could this area present a hazard to the operations of a small UA?","No, all operations will be above 400 feet.","Yes, this is a Military Training Route from the surface to 1,500 feet AGL.","Yes, the defined route provides traffic separation to manned aircraft.",60,"4-digit military training routes, both instrument routes (IR) and visual routes (VR) contain low-flying, high-speed military aircraft from the surface to 1500' AGL.",1
1060,C,According to 14 CFR part 107 the remote pilot in command (PIC) of a small unmanned aircraft planning to operate within Class C airspace,must use a visual observer.,is required to file a flight plan.,is required to receive ATC authorization.,,"Remote PICs must receive approval from ATC prior to operating in any controlled airspace (Class B, C, D, and E airspace)",1
1061,A,"(Refer to Figure 22.) You have been hired by a farmer to use your small UA to inspect his crops. The area that you are to survey is in the Devil`s Lake West MOA, east of area 2. How would you find out if the MOA is active?",Refer to the legend for special use airspace phone number.,This information is available in the Small UAS database.,In the Military Operations Directory.,22,,1
1062,C,"(Refer to Figure 21, area 5.) How would a remote PIC ""CHECK NOTAMS"" as noted in the CAUTION box regarding the unmarked balloon?",By utilizing the B4UFLY mobile application.,By contacting the FAA district office.,By obtaining a briefing via an online source such as: 1800WXBrief.com.,21,,1
1063,B,"(Refer to Figure 27, area 4.) You have been hired to inspect the tower under construction at 46.9N and 98.6W, near Jamestown Regional (JMS). What must you receive prior to flying your unmanned aircraft in this area?",Authorization from the military.,Authorization from ATC.,Authorization from the National Park Service.,27,,1
1064,A,"According to 14 CFR part 107, how may a remote pilot operate an unmanned aircraft in class C airspace?",The remote pilot must have prior authorization from the Air Traffic Control (ATC) facility having jurisdiction over that airspace.,The remote pilot must monitor the Air Traffic Control (ATC) frequency from launch to recovery.,The remote pilot must contact the Air Traffic Control (ATC) facility after launching the unmanned aircraft.,,"Remote PICs must receive approval from ATC prior to operating in any controlled airspace (Class B, C, D, and E airspace)",1
1065,C,In which class of airspace does a UAS operation not need prior approval from ATC?,Class E,Class E and G,Class G,,"Operations in Class B, C, D and E airspace are allowed with the required ATC permission. Operations in Class G airspace are allowed without ATC permission.",1
2001,B,When may a TFR be established?,When there is severe weather,When the President of the U.S. is in the airpace flying through.,When there are unmarked baloons on cable,,"The main types of TFRs are Presidential VIP TFRs, Vice-Presidential TFRs, and Special Event TFRs",2
2002,C,"When operating a sUAS near an airport without an operational control tower, which radio communication frequency could be monitored to hear manned aircraft that are reporting their positions and intentions?",ATIS,AWOS,CTAF,,"CTAF is used to communicate at airports that have closed towers or no control towers, it allows for air-to-air communication so pilots can coordinate safe arrivals and departures at these airports. In contrast, ATIS and AWOS are broadcasts that go out to report mainly weather and runway information. ATIS in particular is used to reduce frequency congestion so it would not be used to communicate a pilots position or intentions. ",2
2003,A,How should N696US be broadcasted via radio?,NOVEMBER SIX NINER SIX UNIFORM SIERRA,NOVEMBER SIX NINTY SIX UNCLE SAM,N SIX HUNDRED NINTY SIX UNMANNED SYSTEM,,For more details on the phonetic alphabet see https://en.wikipedia.org/wiki/NATO_phonetic_alphabet ,2
2004,C ,What is the Aeronautical Information Manual (AIM)?,It contains aircraft-specific information.,It contains rules and regulations of aviation operations.,It is the official guide to basic flight information and ATC procedures.,,"The AIM is the official guide to basic flight information and ATC procedures, and it is generally combined with the FARs as the FAR/AIM and produced annually.",2
2005,C ,What are Advisory Circulars (ACs)?,A document that contains notices to airmen,"An aircraft-specific document, developed by the manufacturer and approved by the FAA","A uniform, agency-wide system for the FAA to provide safety-related information and regulatory clarification to the aviation industry and the public",,ACs are used so that the FAA can reach a broad population in a short amount of time to educate them on safety-critical information. ,2
2006,C ,What are notices to airmen (NOTAMs)?,The official guide to basic flight information and ATC procedures,"A uniform, agency-wide system for the FAA to provide safety-related information and regulatory clarification to the aviation industry and the public",Time-critical aeronautical information that is either temporary in nature or published without sufficient advanced notice for publication in other manuals and handbooks,,NOTAMs are time-critical aeronautical information considered essential to the safety of flight.,2
2007,B ,"(Refer to figure 22, area 3.) Which airport is located at approximately 47 degrees 21'N latitude and 101 degrees 01'W longitude?",Evenson.,Washburn.,Underwood.,22,Washburn airport is located 21' above the 47 degrees N latitude and roughly 01' west of the 101 degrees W longitude. A is incorrect because the Evenson airport is North of the 47 degrees 30' latitude line on the map. C is incorrect because Underwood is a town and not an airport.,2
2008,B ,"(Refer to figure 27, area 2.) What is the approximate latitude and longitude of Cooperstown Airport?",47 degrees 25'N - 99 degrees 54'W.,47 degrees 25'N - 98 degrees 06'W.,47 degrees 55'N - 98 degrees 06'W.,27,"Graticules on sectional Aeronautical charts are the lines dividing each 30 minutes of latitude and each 30 minutes of longitude. Each tick mark represents one minute of latitude or longitude. Latitude increases northward, west longitude increases going westward. Cooperstown airport is approximately at 47 degrees 25' N latitude, and 98 degrees 06' longitude.",2
2009,A ,"(Refer to figure 27, area 5.) A balloon drifts over the town of Eckelson on a magnetic course of 282 degrees at 10 MPH. If wind conditions remain constant, where will the balloon be after 2 hours 30 minutes?",Over Buchanan.,Over the tower southwest of Fried.,3 miles south-southwest of Buchanan.,27,"For 2 hours 30 minutes at 10 miles per hour the ballon travels 25 miles, which converts to approximately 22 nautical miles. Next, take 282 degrees and subtract 7 degrees as shown on the chart to get the true heading which is 275 degrees true.  Then use a plotter to draw a line out from Eckelson at 275 degrees and then measure 22 nautical miles along that line to see that you are South-Southwest of Buchanan. ",2
2010,A ,"(Refer to figure 21, area 2.) The flag symbol at Lake Drummond represents a",visual checkpoint used to identify position for initial callup to Norfolk Approach Control.,compulsory reporting point for Norfolk Class C airspace.,compulsory reporting point for Hampton Roads Airport.,21,Flags represents visual checkpoints.,2
2011,B ,"(Refer to figure 21, area 2.) The elevation of the Chesapeake Municipal Airport is",36 feet.,19 feet.,360 feet.,21,The elevation is listed on the sectional chart,2
2012,C ,(Refer to figure 22.) The terrain elevation of the light tan area between Minot (area 1) and Audubon Lake (area 2) varies from,"sea level to 2,000 feet MSL.","2,000 feet to 2,700 feet MSL.","2,000 feet to 2,500 feet MSL.",22,The elevations are listed on the sectional chart.,2
2013,C ,"(Refer to figure 24.) The flag symbols at Statesboro Airport, Claxton-Evans County Airport, and Ridgeland Airport are",outer boundaries of Savannah Class C airspace.,airports with special traffic patterns.,visual checkpoints to identify position for initial callup prior to entering Savannah Class C airspace.,24,Flag symbols represents visual checkpoints for VFR pilots.,2
2014,C ,"(Refer to figure 26, area 2.) The control tower frequency for Addison Airport is",133.4 MHz.,122.95 MHz.,126.0 MHz.,26,The control tower frequency is noted on the sectional chart.,2
2015,B ,"A non-tower satellite airport, within the same Class D airspace as that designated for the primary airport, requires radio communications be established and maintained with the",associated Flight Service Station.,primary airport's control tower.,satellite airport's UNICOM.,,"FAR Section 91.129 states ""each person operating an aircraft in Class D airspace must meet two-way radio requirements.""",2
2016,B ,The letters VHF/DF appearing in the Airport/Facility Directory for a certain airport indicate that,this airport is designated as an airport of entry.,the Flight Service Station has equipment with which to determine your direction from the station.,this airport has a direct-line phone to the Flight Service Station.,,"VHF/DF stands for Very High Frequency Direction Finder, which an FSS can use to determine your direction from the station.",2
2017,C,(Refer to Figure 22.) What airport is located approximately 47 (degrees) 40 (minutes) N latitude and 101 (degrees) 26 (minutes) W longitude?,Mercer County Regional Airport,Semshenko Airport,Garrison Airport,22,"Graticules on sectional Aeronautical charts are the lines dividing each 30 minutes of latitude and each 30 minutes of longitude. Each tick mark represents one minute of latitude or longitude. Latitude increases northward, west longitude increases going westward. Garrison airport is approximately at 47 (degrees) 40 (minutes) N latitude and 101 (degrees) 26 (minutes) W longitude.",2
2018,B,(Refer to Figure 26.) What does the line of latitude at area 4 measure?,The degrees of latitude east and west of the Prime Meridian,The degrees of latitude north and south from the equator,"The degrees of latitude east and west of the line that passes through Greenwich, England",26,"Area 4 is showing a line of latitude, measuring distances north and south of the equator.",2
2019,C,"(Refer to Figure 21, area 3.) With ATC authorization, you are operating your small unmanned aircraft approximately 4 SM southeast of Elizabeth City Regional Airport (ECG). What hazard is indicated to be in that area?",High density military operations in the vicinity.,"Unmarked balloon on a cable up to 3,008 feet AGL.","Unmarked balloon on a cable up to 3,008 feet MSL.",21,,2
2020,A,The most comprehensive information on a given airport is provided by,the Chart Supplements U.S. (formerly Airport Facility Directory).,Notices to Airmen (NOTAMS).,Terminal Area Chart (TAC).,,,2
2021,A,"(Refer to figure 21, area 2) Why would the small flag at Lake Drummond in area 2 of the sectional chart be important to a Remote PIC?","The flag indicates a VFR check point for manned aircraft, and a higher volume of air traffic should be expected there.",The flag indicates a GPS check point that can be used by both manned and remote pilots for orientation.,The flag indicates that there will be a large obstruction depicted on the next printing of the chart.,21,Flags represents visual checkpoints.,2
2022,B ,"(Refer to figure 22, area 2.) The CTAF/MULTICOM frequency for Garrison Municipal is",123.0 MHz.,122.9 MHz.,122.8 MHz.,22,"It is noted on the sectional chart followed by the letter ""c"" indicating CTAF.",2
2023,B,"(Refer to figure 23, area 2; and figure 32.) At Coeur D'Alene, which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",122.1/108.8 MHz.,122.8 MHz.,122.05 MHz.,"23, 32","It is noted on the sectional chart followed by the letter ""c"" indicating CTAF and also listed on the A/FD. ",2
2024,B ,"(Refer to figure 26, area 3.) If Dallas Executive tower is not in operation, which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",122.95 MHz.,127.25 MHz.,126.35 MHz.,26,"It is noted on the sectional chart followed by the letter ""c"" indicating CTAF.",2
2025,B ,"(Refer to figure 27, area 4.) The CTAF/UNICOM frequency at Jamestown Airport is",122.0 MHz.,123.0 MHz.,123.6 MHz.,27,"It is noted on the sectional chart followed by the letter ""c"" indicating CTAF.",2
2026,A ,"(Refer to figure 27, area 5.) What is the CTAF/UNICOM frequency at Barnes County Airport?",122.8 MHz.,122.0 MHz.,123.6 MHz.,27,"It is noted on the sectional chart followed by the circled letter ""c"" indicating CTAF",2
